Albums,artists
Tesadüf," Sinan Cem Eroğlu, Genco Arı, Cemil Tatlıpınar, Kağan Yıldız, Ediz Hafızoğlu, Akın Eldes, Cenk Erdoğan, Erkan Oğur, Yılmaz Yeşilyurt, Yinon Muallem"
The 9 Dreams," Yinon Muallem, Guy Mintus, Mehtap Demir, Kekeça, Cenk Erdoğan, Hakan Gürbüz, Hasan Gözetlik, Hüsnü Şenlendirici, Sinan Cem Eroğlu, Volkan İncüvez, Zohar Fresco, Cem Bergamalı, Selim Koytak, Haig Yazdjian, Mümin Sesler"
The Art of Time," Elif Çağlar, Çağrı Sertel, Volkan Hürsever, Ediz Hafızoğlu"
The Boston Beat," Mehmet Ali Sanlıkol, Antonio Sanchez, Raydar Ellis, Aaron Henry, Mark Zaleski, Miguel Zenon, Melanie Howell Brooks, Anat Cohen, Jeff Claassen, Jerry Sabatini, Chris Gagne"
The Color Is Black," Korhan Argüden, Umut Çağlar, Burçin Elmas, Osman Özkan"
The Color Of My Country In Jazz," Özdemir Erdoğan, Uğur Dikmen, Onno Tunç, Günnur Perin, Melik Yirmibir, Asım Ekren, Cankut Özgül, Veysel Çadır, Onno Tunç, Mehmet Horoz, Süheyl Denizci, Zafer Dilek, Özdemir Erdoğan, İsmet Sıral, Süheyl Denizci, Alaaddin Dal, Atakan Ünüvar, İsmet Sıral, Erdoğan Ergun, Fatih Erkoç, Süleyman Erguner, Yalçın Özsoy, Baki Duyarlar, Mustafa Taşpınar, Erhan Kutsal, Mehmet Erenler, Mustafa Güner, Mustafa Hısarlı, Bülent Şençalar, Ercüment Batanay"
The Constant Fear of Being Judged (By You)," Onur Nevşehir, Taylan Öner, Mustafa Kemal Emirel, Bahadır Kartal, Barış Ergün"
The Copenhagen Session," Hayati Kafe, Jan Lundgren, Jesper Lundgaard, Jacob Fischer"
The Crooner," Hayati Kafe, Lex Jasper, Metropole Orchestra, The NDR Big Band"
The Dark Side," Aycan Teztel, Sibel Köse, Aşkın Arsunan, Volkan Öktem"
The Dark Side," Aycan Teztel, Aşkın Arsunan, Volkan Öktem"
The Istanbul Connection," Erkan Oğur, Baki Duyarlar, Erdal Akyol, Joost Kroon, Dick de Graaf, Dick de Graaf, Ruben van Rompaey"
The Long Way," Eren Coşkuner, Ercüment Orkut, Eylem Pelit, Ediz Hafızoğlu"
The Lullaby of Trees," Roni Aran, Herman Artuç, Duygu Demir, Eylem Gülter"
The Man I Love," Özay Fecht, Joachim Kühn, Ulrich Lask"
The Message: Live at Kargart," Peter Brötzmann, Korhan Futacı, Umut Çağlar, Özün Usta, Korhan Argüden"
The Mush at Movies," Ezgi Sorman, Nihal Saruhanlı, Müge Küseyri Olgan"
The Myth," Salih Baysal, Okay Temiz, Maffy Falay"
The New Anatolian Experience," Emrah Kotan, Mustafa Yasin Uygunca, Jose Manuel Garcia, Bill Wilson, Darren Ginn, Matt Stallard, Joseph Patrick Moore, Ramon Pooser, Abbes Bouzefrane, David Springer, Charles Hakim Marshall, David Engelhard, Anton Harris, Marla Feeney, Ron Taylor"
The Other Side," İlhan Erşahin, Gilberto Gil, Jane Birkin, Seyyal Taner, Hüsnü Şenlendirici, Adnan Karaduman, Nuri Lekesizgöz"
The Promise," Mehmet Polat, Daniel van Huffelen, Joan Terol Amigo, Shwan Sulaiman, Mikail Aslan, Sinan Arat, Alper Kekeç, Ruven Ruppik, Elnur Mikayilov, Cemil Qocgiri"
The Pump," Kuzey Yılmaz, Anıl Tuncer, Halil Çağlar Serin, Şinasi Celayiroğlu, Doruk Gönentür"
The Rewind," Ceren Temel, Gökhan Över, Serkan Alagök, Yunus Muti, Şenova Ülker, Toprak Barut"
"The Rise Up: Stories of Strife, Struggle and Inspiration"," Mehmet Ali Sanlıkol, Utar Artun, Fernando Huergo, Bertram Lehmann, Phil Sargent, Rick DiMuzio, Aaron Henry, Mark Zaleski, Rick Stone, Dave Liebman, Melanie Howell Brooks, Mike Peipman, Jeff Claasen, Jerry Sabatini, Sam Dechenne, Bulut Gülen, Chris Gagne, Bob Pilkington, Angel Subero, Mary Cicconetti, Rebekah Lorenz, Bill Lowe, George Lernis, Spyridon Antonopoulos, George Fitopoulos, Haralambos Hamos, Rıdvan Aydınlı"
The Songs of Nat King Cole, Ömür Göksel
The Story of a Fool Man," Sanat Deliorman, Orkun Akyol, Atahan Çiftçi"
The Trio," Okay Temiz, Hüseyin Ertunç, Doğan Doğusel, Umut Çağlar, Daniel Spicer"
The Unexpected," Timuçin Şahin, Albert Van Veenendaal, Oene Van Geel"
The Way," Kaan Bıyıkoğlu, Enver Muhamedi, Ekin Cengizkan, Batu Şallıel, Anıl Şallıel, Burak Dursun"
The Way I See You," Orhan Demir, Neil Swainson, Barry Elmes"
Therapy,Parça Listesi:
Things," Başak Yavuz, Peter Eldridge, Jeremy Siskind, Wim Leysen, Alex Spradling, Arthur Vint, Guilhem Flouzat, Richie Barsay, Sebastian Boehlen, Jay Rattman, David Liebman, Matt Holman, Curtis Brink, Yacouba Sissoko, James L. Shipp"
Things Are Falling into Place," Sarp Maden, Alper Yılmaz, Volkan Öktem"
Thinking of Bill, Burak Bedikyan
"This Time, This Sight"," Deniz Taşar, Halil Çağlar Serin"
Three Of Us," Ara Dinkjian, Tamer Pınarbaşı, İsmail Lumanovski"
Tim Live in Paris," Ahmet Gülbay, Claude Mouton, Philippe Le Van, Tim Welvaars"
Time Flies," Aycan Teztel, Tolga Bilgin, Tunç Çakır"
Time Like Dust," Cenk Esen, Aykan Esen, Berker Banar"
Time of Spring," Baki Duyarlar, Janek Gwizdala, Louie Palmer, Justin Vasques"
Timeless," Can Çankaya, Kağan Yıldız"
Timescape," Aydın Esen, Randy Esen, Baron Browne, Steve Smith, Aykan Esen"
Ting," Uygar Çağlı, Tzu-Min Lee, Marco Mrcela, Bilge Kaan Kuş, Edith Lettner, Soner Tezcan"
To Bill Evans," Kerem Görsev, Alan Broadbent, Kağan Yıldız, Ferit Odman, The City of Prague Philharmonic Orchestra"
To Whom It May Concern," Serkan Özyılmaz, Eylem Pelit, Volkan Öktem, Okan Ersan, Levent Altındağ, Serdar Barçın, Şenova Ülker"
Tortu," Berkant Çelen, Volkan Topakoğlu, Murat Çopur, Onur Başkurt"
Toys for All Gods, Aydın Esen
TÖZ,"<p>Tenor ve soprano saksafonda Tamer Temel, piyanoda Ercüment Orkut ve davulda Cem Aksel'in İTÜ MİAM'da kaydettikleri TÖZ'ün miks ve mastering'ini Brad Mehldau, Compay Segundo, Avishai Cohen gibi isimlerin de birlikte çalıştığı ses mühendisi Jordi Vidal yaptı. İllüstrasyonu Sedat Girgin tarafından yapılan albüm kapak görselinde ise sadece bu coğrafyanın dayatmaya çalıştığı ve çoğunlukla yüzeysel kalabilen müzik yaklaşımlarından öte; dünyanın geldiği hal ve bununla uğraşırken zorlanan insanı temsil ediliyor.</p>"
TÖZ II," Tamer Temel, Ercüment Orkut, Cem Aksel, Hezarfen Ensemble"
Transformation," Selçuk Karaman (SelKa), Aydın Esen, Gary Husband, Randy Esen, Bilal Karaman"
Transitions," Cahit Kutrafalı, Cenk Erdoğan, Tolga Erzurumlu, Bulut Gülen, Gürhan Nuray, Andreas Panteli, Stelios Xydias, Ermis Michail, Charis Ioannou, Elias Ioannou"
Transparent Dervish (Misket)," Okay Temiz, Cengiz Özdemir, İsmail Soyberk, Fatmaeid, Kiba Temiz, Erdem Sökmen, Lennart Aberg, Fuat Türkeman, Zeki Adsız"
Trash Oriental," Herman Artuç, Roni Aran, Serhat Ayebe"
Tre," Selen Gülün, Dario Fariello, Giuseppe Birardi, Gökçen Dilek Acay, Stellan Veloce"
Treasures," Ara Dinkjian, Arto Tunçboyacıyan, Armen Donelian, Shamira Shahinian, Ed Schuller"
Tren (Remastered)," Ömer Göksel, Aycan Teztel, Volkan Öktem, Levent Altındağ, Yahya Dai, Fatih Erkoç"
Triboh," Arto Tunçboyacıyan, Rita Marcotulli, Maria Pia De Vito, Cristina Palmiotta, Gabriella Schiavone, Maristella Schiavone, Teresa Vallarella, Faraualla"
Trio,"
"
Trio Mrio," Çağlayan Yıldız, Volkan Öktem, Sarp Maden"
Trio Mrio 2," Genco Arı, Çağlayan Yıldız, Volkan Öktem, Sarp Maden"
Trompet-i Ruhiye, Merve Dikerman Erk
"TRT Arşiv Serisi 004, TRT İstanbul Hafif Müzik ve Caz Orkestrası 1", TRT Hafif Müzik ve Caz Orkestrası
"TRT Arşiv Serisi 013, TRT İstanbul Hafif Müzik ve Caz Orkestrası 2",<br/>
"TRT Arşiv Serisi 078, Atakan Ünüvar"," Serkan Özyılmaz, Özgür Salıcı, Ergun Eremkara, Veysel Çadır, Kamil Özler, Atakan Ünüvar, Tayfun Duygulu, Barış Özer, Meriç Demirkol, Çınar Apay, İmer Demirer, Halil İbrahim Işık, Fehmi Özbilek, Aldoğan Şimşekyay, Emre Kayhan, Hakan Çimenot, Kürşat Sekban, Sacit Çöze, Yalçın Şaşmaz, TRT Hafif Müzik ve Caz Orkestrası"
"TRT Arşiv Serisi 108, Nükhet Ruacan"," Ayhan Yünkuş, Baki Duyarlar, Eray Turgay, Ergun Eremkara, Hasan Hürsever, Veysel Çadır, Neşet Ruacan, Kamil Özler, Atakan Ünüvar, Erol Duygulu, Ergüven Başaran, Çınar Apay, Yalçın Ateş, İmer Demirer, Aydın Özarı, Halil Yiğit, Fehmi Özbilek, Aldoğan Şimşekyay, Emre Kayhan, Gürsan Saçlı, Hakan Çimenot, Sacit Çöze, Yalçın Şaşmaz, TRT Hafif Müzik ve Caz Orkestrası"
"TRT Arşiv Serisi 218, Tuna Ötenel"," Tuna Ötenel, Serkan Özyılmaz, Eray Turgay, Hasan Hür, Fatih Erkoç, Neşet Ruacan, Atakan Ünüvar, Erol Duygulu, Süheyl Denizci, Tuna Ötenel, Yalçın Ateş, Tuna Ötenel, Tuna Ötenel, İmer Demirer, Aydın Özarı, Fatih Erkoç, Nejat Dayıoğlu, TRT Hafif Müzik ve Caz Orkestrası"
"TRT Arşiv Serisi 254, 50. Yıl Özel Albümü"," Ayhan Yünkuş, Baki Duyarlar, Kerem Görsev, Serkan Özyılmaz, Ümit Aksu, Eray Turgay, Ozan Musluoğlu, Özgür Salıcı, Selçuk Sun, Hasan Hürsever, Ferit Odman, Veysel Çadır, Kamil Özler, Atakan Ünüvar, Çağdaş Oruç, Engin Recepoğulları, Erol Duygulu, Serhan Erkol, Tayfun Duygulu, Tuna Ötenel, Barış Özer, Çınar Apay, Ergüven Başaran, Meriç Demirkol, Yalçın Ateş, Tuna Ötenel, Tuna Ötenel, İmer Demirer, Aldoğan Şimşekyay, Aydın Özarı, Ahmet Gökmen Noyan, Ergun Eremkara, Fehmi Özbilek, Halil İbrahim Işık, Halil Yiğit, Utku Akyol, Emre Kayhan, Fatih Erkoç, Gürsan Saçlı, Hakan Çimenot, Hüseyin Çakır, Kürşat Sekban, Metin Ulucan, Nejat Dayıoğlu, Neşet Betimen, Sacit Çöze, Yalçın Şaşmaz, Ediz Hafızoğlu, TRT Hafif Müzik ve Caz Orkestrası"
"TRT Arşiv Serisi 285, Bizden Ezgiler"," Serkan Özyılmaz, Ozan Musluoğlu, Ferit Odman, Cem Tuncer, Engin Recepoğulları, Serhan Erkol, Tamer Temel, Barış Özer, Meriç Demirkol, Engin Recepoğulları, Meriç Demirkol, Serhan Erkol, İmer Demirer, Aldoğan Şimşekyay, Halil İbrahim Işık, Utku Akyol, Emre Kayhan, Hakan Çimenot, Hüseyin Çakır, Kürşat Sekban, Sacit Çöze, Kamil Özler, Yaşar Taner, Ediz Hafızoğlu, Caner Altınbaş, Ahmet Kadri Rizeli, Özkan Alıcı, Bora Dicle, TRT Hafif Müzik ve Caz Orkestrası"
True Love," Fatih Erkoç, Ercüment Orkut, Kağan Yıldız, Ferit Odman, Neşet Ruacan, Tolga Bilgin"
Tunes Sung By The Vocalists," Önder Focan, Bruce Barth, Dough Weiss, Hugh Sicotte, Ajlan Büyükburç, Aydın Kahya, Sibel Köse, Brian Lynch, Slide Hampton"
Turar," Arto Tunçboyacıyan, Aydın Esen"
Türk Çayı Caz Süiti," Halit Turgay, Ayça Kocatürk, Sezin Ahmet Türkmenoğlu, Emir Özoğlu"
Türk Caz Musikisi II," Anıl Şallıel, Batu Şallıel, Aycan Tezel, Tolga Erzurumlu, Cahit Kutrafalı, Ekin Cengizkan, Deniz Taşar, Hayen, Burak Dursun, Ergün Şenlendirici, Memduh Akatay, Mustafa İpekçioğlu"
Türkçe Sözlü Hafif Anadolu Müziği," Arto Tunçboyacıyan, Vahagn Hayrapetyan, Vardan Arakelyan, Arman Jalalyan, Armen Hyusnunts, David Nalchajyan, Tigran Suchyan, Ashot Harutiunyan, Norayr Kartashyan, Vardan Grigoryan, Anahit Artushyan, Armen Ayvazyan, Armenian Navy Band"
Turkish Folk Jazz," Okay Temiz, Saffet Gündeğer, Björn Alke"
Turkish Free Music," Korhan Futacı, Umut Çağlar, Berke Can Özcan, Korhan Argüden, Barlas Tan Özemek, Selim Saraçoğlu, Daniel Spicer, Sarp Keskiner, Doğan Doğusel, Hüseyin Ertunç, Murat Taner, Sarp Keskiner, Okay Temiz, Özün Usta, Musa Dede"
Turkish Pierogi, Paşa Çelik
"Turkish Standards, Vol. 1"," Yavuz Akyazıcı, Joe Fonda, Matt Wilson, Eric Person"
"Turkish Standards, Vol. 2"," Yavuz Akyazıcı, Ece Göksu, Baran Say, Derin Bayhan, Yahya Dai"
"Turkish Standards, Vol. 3"," Yavuz Akyazıcı, Evrim Özşuca, Volkan Hürsever, Turgut Alp Bekoğlu, Yahya Dai"
Türkiye Jazz Tarihinde Işıksız Kalanlar," Özdemir Erdoğan, Ayhan Yünkuş, Günnur Perin, Turhan Eteke, İsmet Sıral, İlter Yenişen"
Turkophony," Orhan Osman, Göksel Baktagir, Eric Levy, Ivan Melon Lewis, Bahadır Tatlıöz, Kai Eckhardt, Daniel Noel Martinez, Thomas Kennedy, Umut Sel, Dave Weckl, Sean Rickman, Horacio El Negro Hernandez, Sean Rickman, Onela, Mor Karbaşı, Christopher Paul Robinson, Ayhan Günyıl, Amik Guerra, Nejat Dayıoğlu, Stavros Pazarentsis, Serkan Bağkesen, Recep Sırplıoğlu, Yasin Bozkurt, Can Olgun, Umut Hoşgör Yaylı Grubu Ensemble"
Türlü," Akın Eldes, Alp Ersönmez, Cem Aksel"
Üç Gönül Hikayesi," Hakan Ali Toker, Murat Süngü, Hakan Çetinkaya"
Uçurtma Uçuran Kız," Kerem Turhan, Can Çankaya, Kağan Yıldız, Berke Özgümüş, Yahya Dai, Tamer Temel, Şenova Ülker, Bulut Gülen, Kerem Sefil"
Udgang," Atahan Çiftçi, Cemil Can Çolak, Oğuz Alp Erdoğmuş"
Ümitvar Mavi," Ercüment Orkut, Kağan Yıldız, Eylem Pelit, Ediz Hafızoğlu, Yahya Dai"
Under Your Thoughts," Arto Tunçboyacıyan, Vahagn Hayrapetyan, Vardan Arakelyan, Arman Jalalyan, Armen Hyusnunts, David Nalchajyan, Tigran Suchyan, Ashot Harutiunyan, Norayr Kartashyan, Vardan Grigoryan, Anahit Artushyan, Armen Ayvazyan, Armenian Navy Band"
Unexpectable," Sarpay Özçağatay, Jesse Taitt, Tyreek Jackson, Angelo Spampinato, Ed Tomassi"
Unforgettables of Jazz," Kerem Görsev, Allan Harris"
Unfulfilled Dreams, Burak Bedikyan
Unravel," Defne Şahin, Fabian Almazan, Petros Klampanis, Henry Cole, Guillermo Klein, Keisuke Matsuno"
Unseen Land," Mete Erker, Jeroen Van Vliet"
Unutma," Öner Karaçuha, Gökhan Ulusoy, Çağatay Vural, Can Kandaz, Kamil Hajiyev"
Urban Pianola, Murat Ali Cengiz
Urumchi," Saadet Türköz, Karşiga Ahmediyar, Sayan Akmolda, Talgat Mushık, Selim Kerey Sıdıyık, Mamer Rayeskhan, Almagül Davletkalieva, Eldar Saparayeva"
Üsküdara Gider İken (Live)," Baturay Yarkın, Nağme Yarkın, Enver Muhammedi, Burak Cihangirli"
Uyanış / Zenci Yürüyüşü," Uğur Dikmen, Günnur Perin, Cankut Özgül, Özdemir Erdoğan, Alaattin Dal, Erdoğan Ergun"
Uyku Pansiyon,<br/>
Uykuda Bir Bulut," Deniz Taşar, Barış Mert Peker, Özgür Ede, Ricardo Marenghi, Yahya Dai"
Uzak," Bidar, Can Arsoy, Eren Turgut, Durul Canberk Ires, Hakan Bulut, Seçil Işıksoy"
Uzak, Çağrı Sertel
Uzaktan," Deniz Taşar, Adem Gülşen, Ozan Musluoğlu, Ekin Cengizkan, Serhan Erkol, Şenova Ülker"
Vakitsiz," Gökhan Somel, Serkan Alagök, Sefer Can Zor, Şule Köken, Can Somel, Ekin Eti, Bilgehan Erten, Özgür Baskın, Barış Uluçınar, Onur Şenler, Burak Çakır, Can Kıyıcı"
Vapurlar / Blues," Mehmet Güreli, Ayşe Tütüncü, İlkin Deniz, Tahsin Ünüvar"
Velvele," Oğuz Büyükberber, Tolga Tüzün, Çağlayan Yıldız, Volkan Öktem, Sibel Köse, Alper Maral, Mike Wilkens, Yahya Dai, Ümit Onartan, Alpay Dinletir"
Vian Köpüğü (LEcume De Vian),"Charles Frossard, Tuna Ötenel"
Viewpoint," Mete Erker, Michel Banabila, Joshua Samson, Hanyo van Oosterom"
Virgin Land, Arto Tunçboyacıyan
Virgo," Engin Özşahin, Enver Muhamedi, Ekin Cengizkan, Bulut Gülen"
Virgo," İlhan Erşahin, Jon Davis, Larry Grenadier, Brian Blade"
Virtuoso," Ulaş Hazar, Carles Benavent, Markus Proske, Gerd Breuer, Rafael Cortes, David Kuckhermann, Kuday Şahinalp"
Visits," Cengiz Yaltkaya, Eldad Tarmu"
Volcano / Gamzelim," Yavuz Akyazıcı, Volkan Hürsever, Cengiz Baysal, Yahya Dai, Serhan Erkol"
Vouves," Tolga Şanlı, Nevzat Yılmaz, Deniz Beydili, Zafer Şanlı, Cengiz Tural, Cenk Erdoğan, Orçun Saçaroğlu, Ahmet Demirkol, Ertuğrul Kırçın, Abbas Karacan, Ege Cengiz, Recep Özçakır, Burak Sarıkahya"
Voyageur," Tuna Ötenel, Pierre Michelot, Philippe Combelle, Raul De Souza"
Waning Moon," Sarp Maden, Volkan Öktem, Şevval Sam, Engin Recepoğulları, Gilad Atzmon, Sebastian Studnitzky, Aziz Şenol Filiz, Suren Asatryan, Rashmi Bhatt"
Warm Autumn," Kerem Görsev, Eric Revis, Alvester Garnett, J.D Allen, Russell Gunn, Jason Jackson, Kahlil Kwame Bell"
Wax Poetic," İlhan Erşahin, Guyora Kats, Dave Berkman, Jesse Murphy, Marlon Browden, Kenny Wollesen, Norah Jones, Val, Lisa Rudolph, Tijen Arkun, Edesel Davis, Kurt Rosenwinkle, Eddie Henderson, Stafford Hunter, Arto Tunçboyacıyan, Wax Poetic (Grup)"
WDF1," Koray Üsgülen, Deniz Beydili, Cengiz Tural, Duygu Tarhan, Ebu Yeniyol, Serhat Bedük, Buray Hoşsöz, Can Türkkan, Ercüment Vural, Ferman Akgül, Gülçin Ergül, Sibel Gürsoy, Yunus Emre Yılmaz, İrem Derici, Tolga Şanlı, Anıl Şallıel, Batu Şallıel, Göksun Çavdar, Tolga Bilgin, Halil İbrahim Işık, Atakan Gözetlik, Hasan Gözetlik, Abbas Karacan, İsmail Peşluk"
We Six," Maffy Falay (Muvaffak Falay), Elvan Aracı, Ake Johansson, Lasse Sundström, Sangoma Everett, Bernt Rosengren"
What Are You Doing the Rest of Your Life, Hayati Kafe
What Are You Doing the Rest of Your Life," Ceren Türkmenoğlu, Hakan Kurşun"
Whatsnext," Mehmet Ali Sanlıkol, Utar Artun, Lefteris Kordis, Fernando Huergo, Engin Günaydın, Cem Mutlu, Bertram Lehmann, Phil Sargent, Aaron Henry, Tucker Antell, Mark Zaleski, Sam Mehr, Kathy Olson, Jared Sims, Jerry Sabatini, Sam Dechenne, Mike Peipman, Jeff Claassen, Chris Gagne, Clayton DeWalt, Randy Pingrey, Tim Lienhard, Ido Meshulam, Bertram Lehmann"
Windmill," Orhan Demir, Rick Lazaroff, Jack Vorvis"
Window For My Breath," Timuçin Şahin, Kai Eckhardt, Owen Hart, Jr."
Witchdoctors Son," Okay Temiz, Johnny Dyani, Oğuz Durukan, Saffet Gündeğer, Gunnar Bergsten"
Wizart,"<span style=""text-decoration: underline;""><strong>Parça Listesi:</strong></span>"
Womens Blues," Göksenin, Ozan Yeşildal, Soner Doğanca, Gürkan Özbek"
Wonderland (Harikalar Diyarı)," İlhan Erşahin, Matt Penman, Jochen Rückert, Hüsnü Şenlendirici, Mehmet Akatay, Adnan Karaduman, Nuri Lekesizgöz, Nil Karaibrahimgil, Bora Uzer"
Wounded Elephant," Nağme Yarkın, Emrah Günaydın"
XYZ," Selçuk Karaman (SelKa), Aydın Esen, Volkan Öktem, Gary Husband, Owen Hart Jr."
Yalancı Çocuk," Bahar Kaya, Berkan Kaya, Umut Oymak, Mertcan Bilgin, Cem Çatık"
Yalnız Uyuma," Elif Yakarçelik, Özgür Ulusoy, Kağan Yıldız, Turgut Alp Bekoğlu, Yavuz Darıdere, Altuğ Öncü, Sunay Özgür, Abbas Karacan, Veysel Çolak, Anıl Birgin, Özlem Yorulmaz Birdal, Güzin Değişmez"
Yalnızca," Dolunay Obruk, Çağrı Sertel, Halil İbrahim Işık, Ozan Musluoğlu, Ediz Hafızoğlu, Banu Kunt Işık, Cenk Erdoğan, Neşet Ruacan, Engin Recepoğulları, Serhan Erkol, Barış Ertürk, Barış Doğukan Yazıcı, Halil İbrahim Işık, Şenova Ülker, Hakan Çimenot, Bulut Gülen, Tunç Çakır, Melisa Uzunarslan, Özüm Günöz, Beste Tıknaz, Çağ Erçağ, Guztavo Battistessa"
Yalnızlık, Esra Zeynep Yücel
Yaşamak," Defne Şahin, Matti Klein, Ofer Wetzler, Lucia Martinez"
Yaşamın Ritmi, Okay Temiz
Yavaş, Selen Gülün
Yazısız,<br/>
Yedi Uyuyanlar (Seven Sleepers)," Eylem Pelit, Ercüment Orkut, Volkan Öktem, Brenda Berin, Sarp Maden, Çağdaş Oruç, Levent Altındağ, Barış Doğukan Yazıcı"
"Yedi Yer, Yedi Gök"," Ayşe Tütüncü, Özgür Salıcı, Cengiz Baysal, Gökçe Gürçay, Turgut Alp Bekoğlu, Tayla Balıkçıoğlu, Selen Gülün, Sibel Gürsoy, Sibel Köse, Emre Karabulut, Yahya Dai, Oğuz Büyükberber, Saruhan Erim, Serdar Gönenci, Timuçin Gürer"
Yel (Sazdan Caza)," Hasan Yükselir, Mete Artun, Larry Porter, Ender Balkır, Nida Ateş, Meike Goosmann, Savaş Demiral, Mustafa Eke, Ertan Tekin, Erdem Şimşek, Güngör Kahraman, Uğur Önür"
Yengeç," Hediye Güven, Jozi Levi, Burçak Kayacan, Berk Sarıoğlu, Melih Serhat Soyyiğit, Merve Dikerman"
Yeni Rüya (New Dream)," Burhan Öçal, Ahmet Türkmenoğlu, Smadj, Semin Kiraz, Savaş Özkök, Serhan Yasdıman, Şenova Ülker, Savaş Zurnacı, Kaan Şehirkahyasıoğlu, Volkan Gümüşlü, Ayhan Şenyaylar, Baki Kemancı, Namık Taşpınar, Tarık Kemancı, Timur Şenyaylar, Tuncay Düzağar, Şükrü Büyükçınar, Metin Kabacı, İbrahim Şentürker, Murat Süngü, Özer Arkun, Emre Demir, Mehmet Çeliksu"
Yer Gök," Banu Kanıbelli, Baki Duyarlar, Selen Gülün, Kağan Yıldız, Alper Yılmaz, Riccardo Marenghi, Başak Yavuz, Cansun Küçüktürk, Barış Uğur, Siney Yılmaz, Serhan Erkol, Bulut Gülen, Tuncay Yılmaz"
Yersiz Korkuların," Bidar, Özgün Tuncer, Atakan Kotiloğlu"
Yıldız Tozları," Volkan İncüvez, Özgür Gürbüz, Fırat Doğan"
Yıldızların Üstünde," Cengiz Baysal, Serkan Özyılmaz, İlker Özalp, Sibel Gürsoy, Ercüment Ateş, İmer Demirer"
"Yok mu, Var"," Yiğit Özatalay, Kristian Lind, Mustafa Kemal Emirel, Yiğit Özatalay, Tülay Günal, Ülkü Aybala Sunat, Angelika Niescier, Tolga Bilgin, Çağdaş Engin, Luca Avanzi, Güç Başar Gülle"
Yol," Sibel Gürsoy, Selen Gülün, Serkan Özyılmaz, İlker Özalp, Cengiz Baysal, Yahya Dai, Şenova Ülker"
Yol," Murat Usanmaz, Ufuk Akman, Serkan Bağtır, Mert Baycan, İsmail Altunbaş, Şevval Sam, Derya Türkan"
Yola Çıktık," Ayca Daştan, Asena Akan, Nihal Saruhanlı"
Yola Devam Et," Gizay Büyükdoğanay, Kaan Büyükdoğanay, Mehmet Mutlu, Yarkın Tuncer, Şenova Ülker, Barış Ertürk, Özcan Yılmaz"
Yolculuk," Cem Nasuhoğlu, Genco Arı, Nevzat Yılmaz, Mahmut Yalay, Turgay Çelik, Umut Pelit, Eylem Pelit, Turgut Alp Bekoğlu, Kamil Özler, Uğur Varol"
Yollar,<br/>
You Ask My Name, Elif Çağlar
"You, Me & Char"," İmer Demirer, Serkan Özyılmaz, Matt Hall (Matthew Hall), Cem Aksel"
Zaman Durdu," Serra Erkoç, Caner Üstündağ, Turgut Alp Bekoğlu, Gültekin Kaçar, Utku Akyol, Gökay Gökşen"
Zaman Olur," Volkan Hürsever, Nedim Ruacan, Zeynep Özyılmazel, Erdem Sökmen,"
Zarf Tümleci," Şenay Lambaoğlu, Ercüment Orkut, Can Çankaya, Volkan Hürsever, Ediz Hafızoğlu, Cem Tuncer, Cenk Erdoğan, Yahya Dai, Engin Recepoğulları, Barış Doğukan Yazıcı, Utku Akyol"
Zarja-Tay," Saadet Türköz, Giovanni Maier, Zlatko Kaucic"
Zefir," Umut Pelit, Eylem Pelit, Ercüment Orkut, Ahmet Türkmenoğlu, Çağdaş Oruç, Ali Emre Kayhan, Serkan Özyılmaz, Emir Ersoy, Baran Çak, Turgut Alp Bekoğlu, Volkan Öktem, Okay Temiz, Nail Evrim Doğ, Aydın Karabulut, Cenap Oğuz"
Zeytuni Zar," Arto Tunçboyacıyan, Vahagn Hayrapetyan, Vardan Arakelyan, Arman Jalalyan, Armen Hyusnunts, David Nalchajyan, Tigran Suchyan, Ashot Harutiunyan, Norayr Kartashyan, Vardan Grigoryan, Anahit Artushyan, Armen Ayvazyan, Armenian Navy Band"
Zikir," Okay Temiz, Tuna Ötenel, Onno Tunç, Doudou Gouirand, Aka Gündüz Kutbay"
Ziyaret," Şirin Soysal, Adem Gülşen, Baran Say, Erdem Göymen, Ülkü Aybala Sunat, Şevket Akıncı, Cansun Küçüktürk, Çağdaş Oruç, Vecihi Akın, Can Ömer Uygan, Emre Kayhan, Öykü Karadağ, Aylin Özer, Oben Arıca, Ertan Şahin, Richard Laniepce, Amy Salsgiver, Gülşah Erol, Cankut Küçüktürk, Amy Salsgiver, Fatih Serenci"
Zıpçıktı," Senem Diyici, Lari Dilmen, Emre Uçku, Alain Blessing"
Zoetic Sessions," Mehmet İkiz, Robin Bennich, Berrin Şahin, Concord Nkabinde"
Zor," Dilan Balkay, Uğurhan Özay, Mürsel Oğulcan Ava"
Zülüf," Deniz Güngören, Apostolos Sideris, Sinan Altıparmak, Barış Ertürk, Duru Tuna"
